03004A60: 人数
0200059E: 生命
0200059C: 体力
020005EE: 国夫出技发
0200068E: 阿力出技发
02000668: 阿力物品代码
020005D8:0633 自定义相貌
020005D8:0634 自定义技能
020005D8:107B 自定义角色
020005D8:4065 黄色药
020005D8:4066 绿色药
020005D8:4067 红色药
020005D8:4052 利 刃
020005D8:4053 爱心之仗
020005D8:4054 魔力之仗
020005D8:4055 爱心密卷
020005D8:4056 X 光 眼镜
020005D8:405F 凌波微步（瞬间移动）
020005D8:4064 奖卷
020005D8:405A 冲天鞋
技能书
020005D8:0643 马赫脚
020005D8:0673 马赫腿2
020005D8:1071 转转腿
020005D8:0675 空中马赫腿
020005D8:0642 马赫拳
020005D8:0672 马赫拳2
020005D8:1067 重力上勾拳
020005D8:0674 空中马赫拳
020005D8:0210 超级大屁
020005D8:1070 超级大屁2
020005D8:1016 头发甩（囧招一个）
020005D8:1015 亮晶晶头撞（很汗的技能）
020005D8:105C 爬行
020005D8:0658 旋转飞扑
020005D8:065B 回旋投（武器）
020005D8:1F80 抽筋腿
020005D8:064E 推拿掌
020005D8:065C 畜力拳
020005D8:1087 弹飞掌
020005D8:0641 冲腿
020005D8:100F 瞬斩（望月最强技能）
020005D8:1050 望月连击
020005D8:0648 瞬间攻击
020005D8:0662 后空摔
020005D8:108F 双棍打
020005D8:106A 瞬棒打
020005D8:0669 马赫踩
020005D8:066A 铁链乱舞（无铁链版）
020005D8:066B 真。铁链乱舞
020005D8:0656 铁链缠绕（铁链）
020005D8:0666 连续手刀
020005D8:0667 横劈手刀
020005D8:105A 瞬间手刀
020005D8:102E 手刀乱舞
020005D8:106E 马赫砸2
020005D8:0654 滑翔十字斩
020005D8:0665 旋转防御
020005D8:0657 高踢腿
020005D8:105B 光刃冲
020005D8:064D 自分鱼雷
020005D8:0631 人间鱼雷
020005D8:0659 过肩摔
020005D8:0655 高空石头突
020005D8:0650 冲式石头突
020005D8:1066 千斤坠
020005D8:1078 火箭头锤
020005D8:102F 大风车
020005D8:064B 超级旋转
020005D8:066D 旋风拳
020005D8:1060 敲头拳（击飞）
020005D8:0652 旋转棍
020005D8:065D 乱舞飞棍（棒子）
020005D8:1004 横棍扫
020005D8:1057 武器旋转
020005D8:0670 爆魔龙神膝
020005D8:0671 站立升龙拳
020005D8:0661 佛山无影脚
020005D8:0663 爆魔龙神腿
020005D8:0664 天煞龙神拳
020005D8:066F 龙神腿
020005D8:0649 龙尾岚风脚
020005D8:066E 漩涡腿
020005D8:1068 重力旋风腿
020005D8:1037 瞬间移动防御
020005D8:1042 影龙波（防御）
020005D8:1035 棒球全垒打（拿棍）
020005D8:1036 双节棍（拿链子）
020005D8:0647 山田之术
020005D8:101C 山田之术2
020005D8:101D 猫扑
020005D8:065A 飞腿
020005D8:0679 无限翻滚
020005D8:106D 霸王冲击
020005D8:1061 马赫下击腿
020005D8:1F81 马赫下击3连腿
020005D8:0678 囧飞腿
020005D8:067E 浮空腿
020005D8:0660 爆弹拳
020005D8:1029 爆弹拳2
020005D8:102A 手刀
020005D8:0677 移动手刀
020005D8:1F83 冲手刀
020005D8:067D 连续反手拳
020005D8:067A 直升机斩
020005D8:067B 华丽斩
020005D8:064C 人体直升 （高举人）
020005D8:104F 空中马赫腿2
020005D8:1046 贱推
020005D8:104A 飞碟转
020005D8:1052 升天旋转拳
020005D8:107A 红色药
020005D8:1079 神秘内裤
020005D8:1077 空中马赫拳2
020005D8:1040 爆裂一指
020005D8:104B 倒挂金钩
020005D8:1051 飞翔木板
020005D8:103E 疯癫撞（又一囧招）
020005D8:1059 自分飞镖
020005D8:103F 隔空打穴
020005D8:1044 自分缩小弹
020005D8:067F 四连腿
020005D8:1048 BT上勾拳
020005D8:1049 巨刀斩
020005D8:103A 旋转连击
020005D8:067C 连击拳
020005D8:1038 自分大风车
020005D8:1039 连环冲拳
020005D8:105E 人体缩小弹（高举人）
020005D8:1062 轮子垃圾桶（高举人）
020005D8:1056 滚蛋（举高人）
020005D8:0644 翻滚
020005D8:0645 马赫砸
020005D8:064A 必杀投
020005D8:0651 马赫踹
020005D8:1031 重手刀
020005D8:066C 脑天手刀
020005D8:103B 火箭鞋（多段跳）
020005D8:103C 空中漫步
020005D8:103D 浮空羽（慢速下降）
020005D8:101F 铁链舞2
020005D8:1024 瞬间棍（防御类）
020005D8:1014 滑行攻击
020005D8:0668 瞬间冲击
020005D8:1025 自行车（完后消失）
020005D8:1018 千手观音棍
020005D8:1047 横向旋转棍
020005D8:0676 集气拳
020005D8:1065 翻滚加膝击
020005D8:065E 前田回旋腿
020005D8:1053 铲腿
020005D8:0D82 猫扑（击飞）
020005D8:105D 踹飞腿
020005D8:1000 抽风腿
020005D8:1006 旋转腿连击
020005D8:1054 棒球棍打
020005D8:1058 武器刺
020005D8:1074 武器冲击（拿武器）
020005D8:1019 庐山升龙霸（- -）
020005D8:1043 终极升龙拳
020005D8:106C 旋转腿
020005D8:1055 飞天倒挂金钩
020005D8:1005 下落腿
020005D8:1099 重锤拳
020005D8:101A 肚拳
020005D8:065F 泰山压顶（高举人）
020005D8:1017 蹦跳拳击
